point_id,lat,lon,label,elevation,slope,aspect,curvature,NDVI,rainfall,competency_index,FS
53,30.75402442,79.49970189,1,3844,33.78230667114258,279.75177001953125,14.0,0.393803301958138,1084.862803220749,0.3799999952316284,1.2342919656821734
54,30.551,79.556,1,1590,17.02280044555664,17.879207611083984,-21.0,0.4564857881136951,1144.3018865585327,0.3799999952316284,2.456196980707777
55,30.1035,78.4265,1,484,44.52487182617188,68.7715835571289,-103.0,0.7472073184643828,1622.434983253479,0.5799999833106995,1.118847330467481
56,30.41918287590212,78.31991975726143,0,2192,17.062580108642578,37.70917510986328,-33.0,0.8389959783663846,1624.151246547699,0.44999998807907104,2.4467511681144862
57,30.964353234035983,78.4372160035414,0,2776,27.223352432250977,12.719490051269531,-17.0,0.865252589497638,1821.9656896591189,0.3799999952316284,1.3807196367311976
58,30.230008837287706,78.94828035646972,0,1414,24.17336654663086,210.0553436279297,35.0,0.3863882758670324,1211.73583984375,0.44999998807907104,1.8300826440106925
59,30.11755724912093,79.60839093709798,0,2014,30.97975730895996,218.56385803222656,9.0,0.6241367891382834,1380.9651267528534,0.3799999952316284,1.2938084235228409
60,30.307679089477947,78.5691687567025,0,1164,29.258071899414062,342.4703674316406,-76.0,0.6697120738682438,1291.6522538661957,0.44999998807907104,1.4954175712050806
61,30.301,79.3628,1,1369,27.23179054260254,28.26805877685547,-34.0,0.7027397549195369,1262.559232711792,0.3799999952316284,1.4992672174049433
62,30.95591879996205,79.49113847303757,0,5390,18.79543876647949,70.55233001708984,-21.0,0.0888105304295308,837.322324514389,0.3799999952316284,2.3206319954152033
63,30.345667283323863,78.65723806837201,0,1398,32.54806900024414,188.44921875,19.0,0.7391157855329504,1295.987206697464,0.44999998807907104,1.3447812203901746
64,30.4043,79.3318,1,1076,38.11704635620117,139.7646942138672,-19.0,0.5522335453221976,1075.1364409923551,0.3799999952316284,1.094497582632184
65,30.2524,78.9228,1,794,32.342342376708984,297.397705078125,-22.0,0.7496642331385011,1196.828315258026,0.44999998807907104,1.3708077946573611
66,30.2828,78.3041,1,1657,24.44450569152832,261.8104248046875,26.0,0.7264882605087634,1856.935968399048,0.5799999833106995,1.87473364718764
67,30.967035275256148,79.83463770180913,0,5357,32.89638900756836,148.30772399902344,-23.0,0.0970685103024034,494.0360748767853,0.41999998688697815,1.4262716930805057
68,30.613970306325232,78.51393897778955,0,1677,50.56282806396485,38.22856140136719,3.0,0.7692724903060771,1708.04851770401,0.44999998807907104,0.8660400446023859
69,30.262,79.2191,1,888,36.7325439453125,121.3727798461914,-1.0,0.6404779305539032,1141.0822176933289,0.44999998807907104,1.2185559681846696
70,30.5345,79.0853,1,1106,25.990737915039062,344.34429931640625,37.0,0.3706086611956329,1289.2209243774414,0.3799999952316284,1.5660337487541558
71,30.37681062777421,79.75839342024094,0,4881,38.68827438354492,226.58482360839844,-12.0,0.1512426795568437,1306.4858090877533,0.3799999952316284,1.0467957315877723
72,30.6004,78.3154,1,1103,37.99652862548828,74.37227630615234,-13.0,0.7029736877152261,1664.3780493736267,0.5799999833106995,1.269775284713655
73,30.67629482,79.04191791,1,3191,36.65911102294922,200.7318725585937,27.0,0.7385108347363276,1421.1643433570862,0.3799999952316284,1.0871594365993869
74,30.7204,79.0758,1,4083,25.30034637451172,236.775619506836,-18.0,0.3595979271837803,1531.723654270172,0.3799999952316284,1.5532816395450268
